This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
2c8f09f181367946f84199327c983cb1efed4e4e2730c038cf7eaca4bfd8fd76 380 44 2721 1672
ad3c62096c254ec4fcb78a87cd244a5ace352bfc9f3d0496b62db484df2d5829 5 4 982 0
85ed4bfaa8d7c5986da64facc8fe19043bd50a29056f8151362f51b08b12c6ce 37 27 140951 53
8212803fc690934e5f0734b3a437d26284ea87673a6c245798e0d819d37f0421 135 127 25146 20069
ae8af48093940ffc3143c4abb2462d41191ce790bab9e21ac097b0e67b0593ac 28 28 2287 59
68c255109e8bf801d669680fd41f3e7e27d4f666278a3f4b1ffd427c178601d8 3 3 31432 13
ce9bb020f24f298d88cbed0ac3513fd7f77b7c487b135783748b00d372d803ad 15 15 2374 146
4bec1b1a28dcc45e915dedcf8ed9fc6233a38f88cbd73295de4017509cdf9a51 5 5 3905 401
249d6a0f909c7ccff25bdaa182b0ee348613619db25e8ee1c41e8837eaeb9efc 4 4 6298 61
8cc1630cff1542c5bff7713199f5ec290e397079e3c475d4656f82492717838a 5 4 2136 0
ec13946d3a9901af3de8d529b5a356e49dde90edfe3fd9e3e8376b63ed31330f 11 11 19828 803
c243860fd46adab9af57033091761b08e3aecc2c20721d1d3e4391baf8e8c3b9 146 109 13526 1981
3034cef5ef89d62ebdad6eb4422654ee97b76bc06f50b06091e040834172c725 11 8 430 4
831f1da572e7cc3a2161a408e0b1f924416dab11b666250cdb3894ed54eef45f 22 18 5934 66
a1e31467fcd7e9b7410930a994ac95cefebfd3df54ea8fd0575746c3f0700186 34 5 486 10
5ab5fc1f63d1dfa6f88a9900233ff5967ef238ea8f212e5beeda84074acd835c 2 2 338 0
cf2ce89590fb26efffe94c9172f64211502caab0ab5ebaf4a835e20aa499b6e4 1 1 241 0
77b3d07018c50b45de91299413c4c6a2dc1fe4d771e225a545b542b54a566a36 6 6 943 2
bdf44b0e882253c50bbe0a5cfea5eff9e582bbcb0644d4a7502f7d8aa11acac8 8 3 540 59
64a65cf2c5591645fa2f6f881fe2135860d4fb244efec3ba3513bd68f7462d97 5 5 967 316
cde09a92af3c905f9bb6fad0ebaf40d652922beb04d9d6be52fa93a50e19b6a3 31 31 8 0
b8faed42605dfe5efdc521a4caa441cfc5cf76c1d7ea064b43253116ef0656ea 8 8 16722 37
5f65dc848806ccb72e8d69be3b8e1cc068295648e22ae07b7cc6a693ef5b5bda 6 6 608 58
8b55b6459be05010a9dc5adcfbaea9b03c7130ccff85d2cb5a5ee08043d5a3df 6 6 397 51
018f49a3b12c223fbfffc0b131578de46f9a5c153981d0ede501db5e05dc13fa 34 2 12 0
7348328155b054bbe5c192d67b4f63b1c4925d32ba3effd0566b303964f82fdc 6 6 286 1
72438c9479d590e84467970101f016d8e4f81fd5350af66cc44039f4e8f87354 52 39 479 1
9a3479a1cb5f244215bc539d2e53bfdae44c5953093b8fb4ff41f54ebc3a81e1 15 15 5056 196
e00a7b32095112f5695fbfb65a1fd550c63f57fada9ddc602a5f590b944430ab 33 10 507 71
2fa6603f53b542cf2c3f4a1a28e2a2db8c44b0a7ecbf94219052f87de398711e 30 30 121267 3157
b4951777d782d49f340ebf99decf580dab855c2d4c42babc6ccc95de19613dad 2 2 3141 563
19fd3357e430ff78d35e19dd0d1061aafc5fb1b9351915dd18a469de17521348 3 3 126 2
475b595a66337f194178a8f0cc6bf3a0d8e831e63457e6c9ac8c4a869e3ddb3d 3 3 20833 0
856a1d2416484360d5c0514fb0a9138aa4050241c7837558ea6e8811e2026f44 2 2 312 0
e923787a0a891e8e9d225c86675b49e81e6683a020c74dd0bec7b4333975a6ff 21 6 4143 415
a1c65202040c95d0a25ea61c14df242471410fc16840bd2ea5caf34d705caa21 2 2 945 9
a7e2cbb03e7961de672b81c740f7269b887b227f63906820d8b3f95a8334e29f 1 1 118 0
55b95b9facbe8b6d009a851807e89c5a3105cb8626d31dc9bd4007bc952a8f31 2 2 635 0
1f43851eb6ada37ef8a63896e953f9f07fb0aa2d4dec1feabbbc211d4518a649 0 0 0 0
3ff9512594272813e5a1494a81a873930fda26cc4875741dbfef5ccffce23cb0 11 11 5338 357
dbcd2b0d80397a17e06f568dafa200a09bd2ed4fc9046eb936ed2b2c9aad90f6 4 4 518 60
